State,Farm/Buyer Name,Category,Website,Phone,Email,Address,Notes
MD,Three Springs Fruit Farm,Farm,,717-642-6748,,"13840 Smithsburg Pike Smithsburg, MD 21783","Seasonal produce, fresh UV apple cider in season. Apples, peaches, cherries, flowers, and vegetables."
MD,Tomahawk Farms,Farm,,443.829.7776,,"Corner of 213 and Windy Acres Farm Ln. Centreville, MD 21617",Fresh produce and flowers.
MD,"Warwick Mushroom Farm, LLC",Farm,http://www.phillipsgourmetinc.com,,,,"P.O. Box 241. Warwick, MD 21912"
MD,Wesco Farm,Farm,,,,,"4605 Williamsburg Hurlock, MD 21643"
MD,Chase's Produce,Farm,,443.336.8492,,"2857 Davidsonville Rd. Davidsonville, MD 21035",You-pick strawberries. Fresh produce and flowers.
MD,Chase's Produce,Farm,,410.867.1508,,"231 Polling House Road. Harwood, MD 20776","Farm store. Meat, eggs, and local goods."
MD,Chase's Produce,Farm,,443.532.5761,,"1865 Horsmon Farm Lane. Saint Leonard, MD 20685","Hayride, maze, petting zoo. Beef, pork, chicken, pumpkins, decorations, hay, straw."
MD,Kilby Cream,Farm,,410.658.8874,,"129 Strohmaier Lane Rising Sun, MD 21911","Host parties, corn maze. Ice cream."
MD,McKnight-Winegardner Farm,Farm,,301.616.7210,,"3118 Bittinger Road. Swanton, MD 21561","Sweet corn produce stand, decorations."
MD,Robin Hill Farm and Vineyards,Farm,,301.643.5619,,"15800 Croom Rd. Brandywine, MD 20613","Vineyard, wine tasting, event venue. Wine."
MD,"R&D Cross, Inc.",Farm,,301.579.2449,,"13801 Martin Road. Brandywine, MD 20613","Farm, Home & Garden and Custom Buildings."
MD,"Tripple Springs Farm, LLC",Farm,,240.478.3312,tripplesprings@gmail.com,"13300 Baden Westwood Road. Baden, MD 20613","Grass-fed beef, free-range heritage and specialty chicks, chickens, eggs (eating and hatching)"
MD,Miller Farms of Clinton,Farm,,301.297.9370,,"10140 Piscataway Road. Clinton, MD 20735","Fresh Fruits, vegetables, baked goods, handmade ice cream, nursery, BBQ and fall family activities."
MD,Butler's Orchard,Farm,,301.428.0444,,"22222 Davis Mill Road. Germantown, MD 20876","Pumpkin picking, hayrides, market. Fruits and vegetables."
MD,Waters Orchard,Farm,,301.253.4956,,"22711 Wildcat Road. Germantown, MD 20876",You-pick apples. Apples (16 varieties)
MD,Sapidus Farms Inc.,Buyer,,443-864-3600,,,
MD,"Randolph Market, Inc.",Buyer,foxlea,804-458-8543,,,
MD,Son's Fish Market,Buyer,,804-541-4221,,,
MD,Kellum Farms Produce & Seafood,Buyer,,804-438-5476,,,
VA,2pondfarm,Farm,www.facebook.com/2pondfarm,540-234-9045,2pondfarm@gmail.com,"300 Craig Shop Road Mt. Sidney, VA 24467","Seasonal hours. Produce, saffron herbs, poultry products, holiday items."
VA,Avalon Farm Sweetgrass,Farm,www.avalonfarmsweetgrass.com,540-337-4144,admin@avalonfarmsweetgrass.com,"605 Springleigh Dr. Greenville, VA 24440",On-site or online. Call for an appointment. Sweetgrass and seasonal vegetables.
VA,Cool Breeze Farms,Farm,www.coolbreezefarms.com,540-810-3348,valerie@coolbreezefarms.com,"297 Salem Church Road Mt. Sidney, VA 24467","Saturday, 10 a.m.-12 p.m., Tuesday, 4:30-6:30 p.m. CSA. Grass-fed beef, pastured pork, and free-range eggs."
VA,Mill Creek Produce,Farm,facebook.com/Mill-Creek-Produce,540-255-1220,,"140 Main St. Goshen, VA 24439",Sells locally bought produce from nearby farms and Shenandoah Valley Produce Auction. Fresh and seasonal.
VA,Poplar Ridge Produce,Farm,www.facebook.com/poplarridgefarms,540-290-1323,poplarridgeproduce@gmail.com,"75 Little River Rd. Goshen, VA 24439","24/7 self-serve stand. We use organic methods and only sell what we grow. Focus on seasonal veggies, salad mix, carrots, tomatoes, baby root veggies; wholesale snap beans."
VA,Stuarts Draft Farm Market,Farm,www.stuartsdraftfarmmarket.com,540-337-1686,stuartsdraftfarmmarket@gmail.com,"2964 Stuarts Draft Hwy. Stuarts Draft, VA 24477","April–December, Mon–Sat 9 a.m.–6 p.m., Sun 12–5 p.m. Full line of seasonal local produce, local jar goods, seafood, etc."
VA,1 Tribe Farm,Farm,1tribefarm.com,540-300-7457,cjstowers@icloud.com,"877 Todd Rd. Mt. Sidney, VA 24467","Regenerative farm and retreat space. Pork, beef, dairy, and honey."
VA,Autumn Olive Farms,Farm,autumnolivefarms.com,540-447-6958,clay@autumnolivefarms.com,"Waynesboro, VA 22980",Sells to restaurants. Heritage breed pork.
VA,Castaline Trout Farms,Farm,facebook.com/castalinetroutfarms,540-997-5461,info@virginiatroutfarms.com,"97 Golden Brook Ln. Goshen, VA 24439","Mar-Jun: Fri–Sat 8a-5p, Sun 1-5p. Jul-Feb: By appt. Rainbow, Brook, Brown & Golden Trout."
VA,Cestari Sheep & Wool Company,Farm,cestarifreshlamb.com,540-337-7282,wool@cestarisheep.com,"3581 Churchville Avenue Churchville, VA 24421","Lamb meat, yarn, wool products."
VA,Charis Farm,Farm,,540-886-8486,charisfarm@yahoo.com,"3081 Shutterlee Mill Rd. Staunton, VA 24401","Please call ahead. Grass-fed/finished beef, free-range eggs, pasture-raised pork."
VA,A Better Way Farm & Goat Dairy,Farm,www.abetterwayfarms.com,540-440-1129,abetterwayllc@hotmail.com,"839 East Side Hwy. Waynesboro, VA 22980","10 a.m.–sundown (self-service). Goat cheese, soap, herd shares."
VA,"Creambrook Farm Services, LLC",Farm,www.creambrookfarm.com,540-290-3721,creambrookfarm@gmail.com,"189 Mish Barn Rd. Middlebrook, VA 24459",Herd shares.
VA,Main Street Farmstead,Farm,www.facebook.com/MainStreetFarmstead,540-480-4043,starbreeze@comcast.net,"548 Draft Avenue Stuarts Draft, VA 24477","Please call/email for hours. Dairy products, yogurts, aged cheese."
VA,Muzzarelli Farms,Farm,,856-691-2497,cmuzzarelli1037@gmail.com,,
DC,FRESHFARM PUFH,Buyer,,,wholesale@freshfarm.org,,
DC,Almaala Farms,Farm,,(240) 423-3207,,"1309 5th Street Northeast Union Market Washington, DC 20002",
DC,Union Market,Farm,,(877) 775-3462,,"1309 5th St NE Union Market Washington, DC 20002",
DC,The District Fishwife Seafood Market,Farm,,(202) 543-2592,,,
